file,label,modality,width,height,mean_r,mean_g,mean_b,std_color,edge_ratio,frames_used
01_02__exit_phone_room__YVGY8LOK.mp4,fake,video,1920,1080,135.47247198109568,134.80973778292181,134.57250561021092,0.5308509924285372,0.0076651073816872434,30
01_02__hugging_happy__YVGY8LOK.mp4,fake,video,1920,1080,125.46585490612141,115.67960398984054,60.506310812114194,28.650189561056568,0.01682084297839506,30
01_02__meeting_serious__YVGY8LOK.mp4,fake,video,1920,1080,115.84327334104938,116.18879550861625,120.61311294367283,2.193683934345231,0.011363361625514401,30
01_02__outside_talking_still_laughing__YVGY8LOK.mp4,fake,video,1920,1080,92.87558293145578,97.1386975469393,98.50885632073047,2.9984194609500645,0.06333315650720166,30
01_02__secret_conversation__YVGY8LOK.mp4,fake,video,1920,1080,107.95687138310184,105.12858254565329,112.96852215149177,3.242882173242722,0.04021196630658437,30
01_02__talking_against_wall__YVGY8LOK.mp4,fake,video,1920,1080,95.86424096579218,111.31530017039611,119.86197180426957,9.931717012849312,0.015119872042181074,30
01_02__talking_angry_couch__YVGY8LOK.mp4,fake,video,1920,1080,135.21736170588989,139.14152522183642,143.7016016750257,3.4711750151520295,0.006319364068930041,30
01_02__walking_and_outside_surprised__YVGY8LOK.mp4,fake,video,1920,1080,114.64897829861113,110.40738088348766,100.62816253536522,5.889794354646257,0.03972722157921812,30
01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,fake,video,1920,1080,137.51265330825618,133.09203538130143,139.54230507330246,3.8315398004304657,0.004928626543209877,30
01_02__walking_outside_cafe_disgusted__YVGY8LOK.mp4,fake,video,1920,1080,101.18686787872943,105.83900975758743,118.26595236947017,7.324405200297548,0.03309855645576131,30
01_02__walk_down_hall_angry__YVGY8LOK.mp4,fake,video,1920,1080,146.48330507330246,131.77177919238687,116.73933743248459,12.32723012651688,0.011530205118312757,30
01_03__exit_phone_room__480LQD1C.mp4,fake,video,1920,1080,135.47204764660492,134.8142059059928,134.58123251028806,0.5270665009212233,0.007585583847736624,30
01_03__hugging_happy__ISF9SP4G.mp4,fake,video,1920,1080,125.49862355324076,115.7162986111111,60.520876093107,28.662111781845034,0.016999501671810698,30
01_03__kitchen_pan__JZUXXFRB.mp4,fake,video,1920,1080,120.64524130336935,117.91890491576648,110.12759804205244,4.5952953659197755,0.008124212319958846,30
01_03__kitchen_still__JZUXXFRB.mp4,fake,video,1920,1080,109.14150752314815,105.29066091177985,101.4800568415638,3.1368968860890143,0.007831950874485596,30
01_03__meeting_serious__JZUXXFRB.mp4,fake,video,1920,1080,115.8421506397891,116.19022223829732,120.61872535686729,2.1963914512057645,0.011274418081275718,30
01_03__outside_talking_pan_laughing__ISF9SP4G.mp4,fake,video,1920,1080,71.90915134709361,74.81065374228395,75.83539592978396,1.7293730138887147,0.046019531250000016,30
01_03__outside_talking_still_laughing__JZUXXFRB.mp4,fake,video,1920,1080,92.54914395254629,96.8031599633488,98.19163289287553,2.8786566675654774,0.06342377186213992,30
01_03__podium_speech_happy__480LQD1C.mp4,fake,video,1920,1080,116.67534749549897,121.6840005787037,133.23054118441357,6.932512911548344,0.0042948977623456785,30
01_03__podium_speech_happy__JZUXXFRB.mp4,fake,video,1920,1080,116.67698423032407,121.69498566100825,133.2609202031893,6.9444977993347825,0.004040332433127573,30
01_03__secret_conversation__480LQD1C.mp4,fake,video,1920,1080,107.96146727109053,105.12447554976853,112.96494341563788,3.242494112849464,0.04016449652777778,30
01_03__talking_against_wall__JZUXXFRB.mp4,fake,video,1920,1080,95.86817483281894,111.33797297775206,119.84752195859053,9.926435259932472,0.01482708011831276,30
01_03__talking_angry_couch__ISF9SP4G.mp4,fake,video,1920,1080,135.20965625,139.13293573173866,143.68906449331274,3.469171385194811,0.00628440072016461,30
01_03__talking_angry_couch__JZUXXFRB.mp4,fake,video,1920,1080,135.21869844714507,139.1452310635288,143.69573228523663,3.468076188747265,0.006383969907407407,30
01_03__walking_and_outside_surprised__JZUXXFRB.mp4,fake,video,1920,1080,114.64394249935701,110.40782306134257,100.62320174254116,5.890136281576465,0.039605709876543216,30
01_04__exit_phone_room__0XUW13RW.mp4,fake,video,1920,1080,135.73122117734056,135.10748495370368,134.88117967142492,0.6077532120759624,0.00750318287037037,30
01_04__hugging_happy__GBC7ZGDP.mp4,fake,video,1920,1080,125.47738982124487,115.68640571952159,60.49171609760803,28.660672496478664,0.016780976723251028,30
01_04__kitchen_pan__GBC7ZGDP.mp4,fake,video,1920,1080,120.50908868634257,117.82196817129629,110.0897779546039,4.535402633940997,0.008087802211934158,30
01_04__kitchen_still__GBC7ZGDP.mp4,fake,video,1920,1080,109.10739586548354,105.22889242541152,101.43921341306584,3.1389168762416593,0.007728443287037036,30
01_04__meeting_serious__0XUW13RW.mp4,fake,video,1920,1080,115.85080812757205,116.20579557291667,120.63271068029836,2.1975747405109534,0.011151748971193417,30
01_04__outside_talking_still_laughing__0XUW13RW.mp4,fake,video,1920,1080,92.3969709683642,96.7057628600823,98.09778258423353,2.794419628616067,0.06303986625514403,30
01_04__podium_speech_happy__0XUW13RW.mp4,fake,video,1920,1080,116.67259047067903,121.67894166345168,133.2322899305556,6.9347727463348905,0.003975212191358025,30
