user,dwell_mean,dwell_std,dwell_min,dwell_max,dwell_median,flight_mean,flight_std,flight_min,flight_max,flight_median,overlap_rate,session_break_rate,total_keystrokes,dwell_cv,flight_cv
1,0.13255458167330678,0.2357344540456317,0.046,6.792,0.1095,0.4309143426294821,2.945414506228647,0.0,120.364,0.109,0.055776892430278883,0.010159362549800797,5020,1.778395367929427,6.83526681487424
2,0.1692918241495922,0.42187673777189266,0.046,9.812,0.109,0.41346548637358266,2.4837836963413853,0.0,85.416,0.093,0.11935548040580864,0.012333399641933558,5027,2.4920089312707008,6.007233440754924
3,0.09925263763667753,0.1881408446163085,0.046,9.8,0.078,0.6006178783809707,3.270616491697895,0.0,119.837,0.125,0.00652215614809131,0.015346249760214847,5213,1.8955752622415294,5.445419807539178
4,0.12769177098296736,0.10487756666776332,0.046,3.057,0.12,0.4624845064641904,3.726224027717242,0.0,192.552,0.109,0.12538477324030373,0.009439770162117792,4873,0.8213337935594363,8.056970505250339
5,0.13873213610586013,0.20520111437577324,0.046,8.072,0.125,0.4018298676748582,3.636040729553139,0.0,138.166,0.078,0.18695652173913044,0.01058601134215501,5290,1.479117385024575,9.048706982864829
6,0.11481070580617311,0.2877705879117142,0.046,9.75,0.078,0.4608886250809411,2.9908623484429855,0.0,107.402,0.109,0.03863587308439456,0.012303043384416144,4633,2.506478693698976,6.489338607386397
7,0.134008394356135,0.3097536899648653,0.046,9.859,0.109,0.42331452045008033,3.7230367092172973,0.0,162.817,0.078,0.1457403107697803,0.010358992677263796,5599,2.311449901725388,8.794965750900433
8,0.20294988179669032,0.2465217277536733,0.046,9.124,0.156,0.48975839243498814,3.161225989052463,0.0,94.255,0.109,0.3,0.014893617021276596,4230,1.2146926402284484,6.454664254624473
9,0.232013398754482,0.2471979505098234,0.046,5.944,0.171,0.2905818078882808,2.3874061363513204,0.0,108.823,0.109,0.309114927344782,0.008114738629930176,5299,1.065446874348019,8.215951830230198
10,0.12631552651806302,0.17463532520822309,0.046,9.781,0.109,0.546543043812452,4.102465208472876,0.0,155.422,0.124,0.03593389700230592,0.014027671022290546,5204,1.3825325359606555,7.50620697659204
11,0.2805005859375,0.5535557683461696,0.046,9.813,0.175,0.31918046875,2.2748120839828614,0.0,78.125,0.125,0.2373046875,0.008203125,5120,1.9734567273578196,7.127040363377064
12,0.5412525450973388,1.5210733298662893,0.046,9.984,0.171,0.2768694409716021,1.4994446641151395,0.0,42.526,0.125,0.2559385604572245,0.006608322914806215,5599,2.810283930568381,5.415710230978269
13,0.24885242718446604,0.6236115998910949,0.046,9.78,0.14,0.21914715672676838,1.5066757169447251,0.0,86.981,0.125,0.16324549237170596,0.002912621359223301,7210,2.505949437370094,6.875178028539248
14,0.2298663951120163,0.29911085605109283,0.046,9.298,0.156,0.3828085539714867,3.7764837958969766,0.0,134.345,0.125,0.22953156822810591,0.008961303462321792,4910,1.301237859954836,9.86520221849135
15,0.09687661737523105,0.19264818261253053,0.046,8.705,0.078,0.4666862292051756,1.6126138030636907,0.0,32.323,0.203,0.0027726432532347504,0.011090573012939002,2164,1.9885932006311555,3.455456154791993
16,0.09591729055258467,0.10554064059932858,0.046,5.707,0.078,0.5415805704099822,2.8628119711670674,0.0,77.204,0.14,0.009625668449197862,0.015508021390374332,5610,1.100329669356831,5.286031529897553
18,0.25177832628114716,0.9083977406395723,0.046,9.688,0.109,0.7757127409496944,3.998224974105645,0.0,110.917,0.125,0.1003761165961448,0.0230371415138693,4254,3.6079266792218405,5.154259770454038
19,0.19308221386351426,0.36109646988472394,0.046,9.609,0.14,0.321348737238044,3.574876005797553,0.0,131.276,0.062,0.446534121440086,0.008955758552749419,5583,1.8701695130757896,11.124599513049924
