user,click_dur_mean,click_dur_std,click_dur_min,click_dur_max,inter_click_mean,inter_click_std,inter_click_min,inter_click_max,double_click_rate,click_rate_per_sec,total_clicks,left_click_ratio,move_speed_mean,move_speed_std,move_speed_max,move_accel_mean,move_accel_std,pause_rate,direction_change_mean,direction_change_std,path_efficiency,move_range_x,move_range_y,rel_move_mean,rel_move_std,scroll_mag_mean,scroll_mag_std,scroll_down_ratio,inter_scroll_mean,inter_scroll_std,scroll_burst_rate,scroll_rate_per_sec,total_scroll_events
1,0.3708024691358098,0.3646042305461806,0.1069999999999709,3.978,8.580790123456792,11.868880541735033,0.3490000000000464,55.37100000000001,0.0,0.07932089704195931,164,0.9817073170731707,350.99444502059697,749.3856362608819,8587.398660151335,429.3212288464003,849.1413517973514,0.15995115995115994,1.0813599029420025,0.9919453993371532,0.0015527941233434443,1919.0,1199.0,4.531452169221525,6.172459334316156,120.0,0.0,0.4543761638733706,2.2738003731343284,13.520974455110336,0.3414179104477612,0.4406128539159159,537.0
2,0.43979768786126777,0.3451683171472822,0.08700000000021646,2.1720000000000255,7.917749999999999,9.256257499755797,0.3389999999999418,49.144000000000005,0.0,0.0623673342254626,173,0.5,455.18169077611685,835.855080911568,8420.533531085252,586.604385087272,925.402533300426,0.14585319351763584,1.0381619609622768,0.9953685336745635,0.001639809319495203,1919.0,1199.0,8.61846773204436,7.516148624274691,120.0,0.0,0.5372829417773238,1.1481022494887525,5.113240586184416,0.2689161554192229,0.8718931570191406,979.0
3,0.364883064516132,0.2999231864623186,0.08799999999973807,2.354000000000269,7.197802469135803,9.144491010753699,0.26299999999991996,56.437000000000126,0.01646090534979424,0.06924811013842391,249,0.9236947791164659,573.0263717466091,1128.6998843153692,12713.665337930359,750.3998320646928,1279.4615796724268,0.13920099875156056,1.0695952877849462,0.9691257606308499,0.0009706529886407532,1919.0,1199.0,11.693566831012859,11.68703375647688,120.0,0.0,0.6298076923076923,1.7451600481347775,11.372590690043559,0.44404332129963897,0.5737028936139696,832.0
4,0.3465886075949365,0.49534997383574975,0.09399999999982356,4.164999999999964,7.554040268456372,11.79232148583237,0.29000000000041837,55.27099999999996,0.020134228187919462,0.05645431863031818,158,0.5,326.30523776053116,764.7299605407106,9936.371550606167,412.61900152980235,869.7690416167568,0.14926419060967064,0.9169533107595317,0.9152109032277174,0.0011436259966405746,1919.0,1199.0,6.086282561935992,8.563890342453153,120.0,0.0,0.7898789878987899,1.3028491189427314,7.2602867684902845,0.5198237885462555,0.7683939045822142,909.0
5,0.3840469314079377,0.3509129732069688,0.08600000000001273,3.628,5.504634057971015,7.618583466522909,0.20600000000001728,49.71500000000003,0.010869565217391304,0.13063001257431342,278,0.9964028776978417,437.6149370585861,782.8500237533834,8208.644522574614,563.5183028881886,890.3420684324377,0.11549295774647887,0.9818224341522899,0.9506377764690983,0.0012126462335326463,1919.0,1199.0,8.39348847227163,8.040496035137913,120.0,0.0,0.43956043956043955,3.8386363636363634,23.524597329734913,0.32231404958677684,0.26122683316289,364.0
6,0.4029235294117723,0.3312220865564943,0.125,2.4850000000001273,7.266698795180723,8.714463101662629,0.3429999999998472,42.48299999999995,0.0,0.058074553462720724,171,0.5,420.40709749079474,752.3560870246677,10228.76501682136,540.3387948689954,831.8400741776534,0.12299465240641712,1.154136433157925,0.957410516745021,0.0005519895684475764,1796.0,1199.0,6.235816151516385,7.5858320655715055,120.0,0.0,0.5975820379965457,1.976339100346021,8.76376704106532,0.3615916955017301,0.5068614508668293,579.0
7,0.39633198380566165,0.5330153273400926,0.09000000000003183,4.468,7.020379591836735,9.953170491017273,0.17399999999997817,53.80300000000011,0.004081632653061225,0.10172261273089386,247,0.5,514.8866083325206,870.0872995537857,7983.749438825703,663.1581771679611,964.2314893902277,0.12205567451820129,1.0710980229882683,1.010478052687782,0.001023832612855273,1919.0,1199.0,7.872385277662595,7.486201075368187,120.0,0.0,0.5414462081128748,2.6736113074204946,13.59416590325062,0.3657243816254417,0.37468676979033405,567.0
8,0.42893478260869616,0.48863894388988394,0.13200000000006185,3.6499999999999773,8.636050632911394,10.308749246283604,0.3709999999999809,56.60399999999993,0.0,0.07893870853312639,160,0.99375,526.294315237231,1001.9253083035923,8776.128712346937,673.5100562105374,1088.92697489383,0.15026954177897575,1.1352224784953397,1.009929885408367,0.0011270495006136727,1919.0,1199.0,6.14947639839749,7.686060272801321,120.0,0.0,0.497907949790795,4.899789915966387,24.332288075162012,0.18487394957983194,0.20494790550100758,239.0
9,0.33508333333333495,0.24932542786784978,0.125,2.2060000000000173,8.438006410256412,11.473136012786902,0.17400000000009186,52.837999999999965,0.00641025641025641,0.06467273611698544,163,0.9754601226993865,392.6517095087995,794.2365636171064,8826.278019273463,498.11263560021007,920.0378544212064,0.13761467889908258,1.0163404604944353,1.0198345415563232,0.0015121566736893172,1719.0,1182.0,4.189321705055299,4.811371646277314,120.0,0.0,0.5474613686534217,2.943278761061947,10.055204096721113,0.16371681415929204,0.34050882391409254,453.0
10,0.4080781758957697,0.37058817640932284,0.09699999999997999,3.2660000000000764,6.8147441860465126,10.29186986960895,0.2179999999998472,59.74800000000005,0.009966777408637873,0.08940628421677192,308,0.9902597402597403,446.52406560431575,903.1529731128352,10957.638811688303,514.2085026313117,937.7211890127953,0.13026444662095985,1.0679080216070707,0.9739560880281122,0.0009725522352265486,1919.0,1199.0,6.494157540046487,8.95756980750445,120.5303867403315,7.960219767409663,0.6143646408839779,1.7296891592920354,11.528167137803786,0.3573008849557522,0.5787780939206556,905.0
11,0.4691111111111186,0.38698132152582543,0.1400000000000432,1.90300000000002,7.403785340314136,9.222971907542833,0.33199999999999363,49.33200000000011,0.0,0.07653544827597035,195,0.5,459.5580440437006,882.159453150798,8108.69781528331,556.7349564154471,913.3843205671427,0.17287234042553193,1.0520478585496085,0.988886925164574,0.002115865808555405,1919.0,1199.0,5.255167216048761,8.373932912024507,120.0,0.0,0.5115089514066496,3.0042615384615385,18.557385976210632,0.23333333333333334,0.33371398918800815,391.0
12,0.382076923076916,0.28171727822778353,0.15499999999997272,1.1909999999999172,8.148662790697673,11.06184643436405,0.2319999999999709,59.19200000000001,0.005813953488372093,0.06686496978232241,177,0.5,409.49510601258294,743.0162264468299,6579.609219400171,523.3652735800518,816.3343173331716,0.14947089947089948,1.247477002623527,1.0435546073665745,0.0014872078495447353,1912.0,1199.0,4.562755700698441,5.774642417407592,120.0,0.0,0.5380116959064327,3.7468064516129034,15.007364591430909,0.18181818181818182,0.26767663723006335,342.0
13,0.39893814432989183,0.6036537174629649,0.15699999999992542,4.284999999999968,5.6806244343891406,9.132716093202552,0.18000000000006366,59.101999999999975,0.013574660633484163,0.10326690282176812,228,0.5,634.2868309248753,1032.8358489737718,7120.026463183442,780.8433750256056,1104.5923987219992,0.10453762205628948,1.3167650391528503,1.0522806738441088,0.0008344299138751634,1919.0,1199.0,7.367314113448014,10.019696828988115,120.0,0.0,0.5933806146572104,3.1694834123222746,17.112041571853247,0.20853080568720378,0.31625648026724046,423.0
14,0.36051562500000056,0.48684425958327615,0.15399999999999636,3.7049999999999272,5.42062676056338,9.098571935701942,0.34000000000003183,52.44200000000001,0.0,0.12329247415032006,288,0.9375,575.1928169074645,999.6871613140612,8320.917126356475,682.4144627918096,1040.9076164172047,0.11044176706827309,1.34346729314167,1.0382296059367764,0.0006294467099531851,1739.0,1183.0,4.705836091145025,6.627560388510177,120.24439918533605,5.410006587660772,0.5366598778004074,1.4335688073394495,7.239500410546102,0.290519877675841,0.6982708907078063,982.0
15,0.23299999999999293,0.08809694335544188,0.125,0.5149999999999864,32.44060869565218,21.809910247884872,0.8419999999999845,59.624000000000024,0.0,0.025063999626632832,29,1.0,159.41344284400705,267.97946199313805,1904.223825097348,207.563195927462,284.01477007218,0.23142857142857143,0.8211079771379057,0.9409247840328779,0.05548541016521652,1049.0,371.0,3.170864670171777,2.6873724192619273,,,,,,,,
16,0.31345064377682436,0.26543784932788594,0.08799999999973807,1.974999999999909,9.593531818181818,14.811064515602892,0.18499999999994543,59.79499999999996,0.00909090909090909,0.06566632151921993,233,0.9399141630901288,467.0070108842418,790.8216437233011,8461.555496072782,535.814818754034,863.239923168856,0.1017357762777242,0.9702778407783031,0.9759950073969007,0.0010944974221780777,1919.0,1199.0,6.842798164268859,6.973804170492597,122.13438735177866,15.860985872448346,0.6442687747035574,2.083019801980198,12.534892958331778,0.6316831683168317,0.48102288661263876,506.0
17,,,,,,,,,,3.367003367003367,1,1.0,268.14999443958374,343.2819896701672,1388.366736774369,290.0542672788385,345.6363103717453,0.125,0.7449817658633285,0.8105909140346101,0.810714580540587,661.0,217.0,3.759456363939254,2.068393713372527,,,,,,,,
18,0.28961306532661685,0.3800339260578408,0.09399999999982356,3.5140000000001237,10.951823863636362,14.74893700128385,0.32600000000002183,59.483000000000175,0.0,0.05215651462387422,199,0.9849246231155779,515.0463479532322,960.4512797514107,10295.49089346387,659.7705875997489,1087.8210458040783,0.14723032069970846,0.9526268059316487,0.9513326229033464,0.0013271304788198821,1919.0,1199.0,8.673793056171412,8.976218690185235,120.0,0.0,0.43984220907297833,2.056446640316205,9.544414099362891,0.4189723320158103,0.48723670478068587,507.0
19,0.32259259259259276,0.3789402507636671,0.10200000000000387,4.5190000000000055,6.973748815165877,9.432395069510857,0.3120000000001255,58.07899999999999,0.0,0.1022460838108335,218,1.0,404.6486863703954,668.543657893475,6162.362856272639,449.2167500792125,685.2829268387941,0.12270220588235294,0.8436521635549425,0.8657563975763974,0.0014129653927268612,1916.0,1199.0,5.562977729055697,6.023800136394659,120.0,0.0,0.8137254901960784,2.4543713163064833,21.83914893969675,0.5068762278978389,0.40823677733085184,510.0
20,0.3361407035175825,0.44067875958258984,0.14799999999991087,3.477000000000089,8.397933333333333,9.397895014756026,0.35399999999981446,51.70999999999992,0.0,0.09295560038807796,199,1.0,296.29092259867105,513.3834384977372,5627.658329320156,313.79225003961966,526.4325677402726,0.13527620704654197,0.8221797918440196,0.8897105094861695,0.004803073438820424,1679.0,1049.0,3.6907303106102654,3.9877841990033662,120.0,0.0,0.5371621621621622,4.101583050847458,21.909384347051642,0.4101694915254237,0.24463477103094544,296.0
21,0.3337419354838634,0.3247654750040565,0.09400000000005093,4.038999999999987,4.180545994065282,6.807513165621496,0.20299999999997453,56.75299999999993,0.005934718100890208,0.12819332003781891,341,0.9970674486803519,411.72084696948707,714.9778457014161,8095.493715771359,484.0081502951747,789.1884324027204,0.10006626905235255,1.218228029671552,1.03741796534796,0.0009322092771623043,1919.0,1199.0,8.52762440667866,9.622381098517584,122.1867881548975,16.0509356784363,0.5466970387243736,1.3606887115165338,6.468630107930495,0.3352337514253136,0.7357599444911859,878.0
22,0.35587209302326156,0.28903779680326697,0.09800000000001319,2.6399999999999864,5.103267716535433,7.2392347041352485,0.2999999999999545,58.178999999999974,0.003937007874015748,0.1362684932982838,258,0.9844961240310077,509.24117446319536,793.4293204072997,6571.820358924548,622.5350067634805,852.8896648929338,0.08884565499351492,1.1853288904912642,1.0229887638263695,0.0023358061004047147,1897.0,1199.0,9.18623728572277,8.38489706795396,121.0989010989011,11.430684504567775,0.5347985347985348,2.077748623853211,10.383926446086155,0.3467889908256881,0.48217327682662864,546.0
