participant_id,file,file_exists,rows,sections,columns,numeric_features,nan_values,inf_values,finite_ratio,sections_checked,sections_valid,temporal_score,feature_variability_mean,feature_variability_median,constant_feature_count,constant_feature_ratio,extreme_value_count,feature_quality_score,row_quality_score,sequence_quality_score,overall_quality_score,eligible,failure_reason
190824,processed\features\190824_features.csv,1,1118,15,23,16,375,0,0.9790362254025045,15,15,1.0,150.39940123992824,32.51746096335912,0,0.0,3,1.0,1.0,1.0,1.0,1,PASS
191239,processed\features\191239_features.csv,1,1109,15,23,16,375,0,0.9788660955816051,15,15,1.0,96.85114128892675,28.703330842792152,0,0.0,0,1.0,1.0,1.0,1.0,1,PASS
107824,processed\features\107824_features.csv,1,1079,15,23,16,375,0,0.978278498609824,15,15,1.0,28856.878818662924,49.82857173770136,0,0.0,1,1.0,1.0,1.0,1.0,1,PASS
165036,processed\features\165036_features.csv,1,1073,15,23,16,375,0,0.9781570363466915,15,15,1.0,104.28461028443884,18.697496608940323,0,0.0,0,1.0,1.0,1.0,1.0,1,PASS
66301,processed\features\66301_features.csv,1,1036,15,23,16,375,0,0.9773769305019305,15,15,1.0,136931.25800476174,49.805495239816196,0,0.0,1,1.0,1.0,1.0,1.0,1,PASS
72011,processed\features\72011_features.csv,1,1033,15,23,16,375,0,0.977311229428848,15,15,1.0,175.13198000306818,126.31444244033074,0,0.0,2,1.0,1.0,1.0,1.0,1,PASS
284548,processed\features\284548_features.csv,1,1029,15,23,16,375,0,0.9772230320699709,15,15,1.0,87.89853859787387,25.159840439558117,0,0.0,0,1.0,1.0,1.0,1.0,1,PASS
321674,processed\features\321674_features.csv,1,1022,15,23,16,375,0,0.9770670254403131,15,15,1.0,77.47714358756046,30.90011798159407,0,0.0,0,1.0,1.0,1.0,1.0,1,PASS
34863,processed\features\34863_features.csv,1,1015,15,23,16,375,0,0.9769088669950738,15,15,1.0,168.42874914414077,28.468655773319284,0,0.0,8,1.0,1.0,1.0,1.0,1,PASS
169551,processed\features\169551_features.csv,1,1015,15,23,16,375,0,0.9769088669950738,15,15,1.0,161.83989636359203,25.483886330995357,0,0.0,6,1.0,1.0,1.0,1.0,1,PASS
