failure_reason,participants
temporal_order_issue,150621
insufficient_keystrokes(596);temporal_order_issue,246
insufficient_keystrokes(597);temporal_order_issue,245
insufficient_keystrokes(598);temporal_order_issue,228
insufficient_keystrokes(599);temporal_order_issue,219
insufficient_keystrokes(595);temporal_order_issue,210
insufficient_keystrokes(593);temporal_order_issue,209
insufficient_keystrokes(594);temporal_order_issue,207
insufficient_keystrokes(592);temporal_order_issue,191
insufficient_keystrokes(591);temporal_order_issue,184
insufficient_keystrokes(587);temporal_order_issue,179
insufficient_keystrokes(589);temporal_order_issue,178
insufficient_keystrokes(584);temporal_order_issue,176
insufficient_keystrokes(590);temporal_order_issue,174
insufficient_keystrokes(588);temporal_order_issue,171
insufficient_keystrokes(586);temporal_order_issue,165
insufficient_keystrokes(583);temporal_order_issue,163
insufficient_keystrokes(582);temporal_order_issue,142
insufficient_keystrokes(585);temporal_order_issue,140
insufficient_keystrokes(581);temporal_order_issue,131
insufficient_keystrokes(576);temporal_order_issue,128
insufficient_keystrokes(579);temporal_order_issue,126
insufficient_keystrokes(575);temporal_order_issue,126
insufficient_keystrokes(573);temporal_order_issue,122
insufficient_keystrokes(580);temporal_order_issue,120
insufficient_keystrokes(574);temporal_order_issue,115
insufficient_keystrokes(577);temporal_order_issue,112
insufficient_keystrokes(578);temporal_order_issue,111
insufficient_keystrokes(566);temporal_order_issue,109
insufficient_keystrokes(572);temporal_order_issue,108
insufficient_keystrokes(568);temporal_order_issue,100
insufficient_keystrokes(570);temporal_order_issue,98
insufficient_keystrokes(564);temporal_order_issue,93
insufficient_keystrokes(563);temporal_order_issue,92
insufficient_keystrokes(567);temporal_order_issue,91
insufficient_keystrokes(569);temporal_order_issue,87
insufficient_keystrokes(571);temporal_order_issue,83
insufficient_keystrokes(562);temporal_order_issue,83
insufficient_keystrokes(557);temporal_order_issue,82
insufficient_keystrokes(565);temporal_order_issue,80
insufficient_keystrokes(559);temporal_order_issue,78
insufficient_keystrokes(556);temporal_order_issue,75
insufficient_keystrokes(561);temporal_order_issue,71
insufficient_keystrokes(558);temporal_order_issue,70
insufficient_keystrokes(554);temporal_order_issue,67
insufficient_keystrokes(551);temporal_order_issue,66
insufficient_keystrokes(553);temporal_order_issue,64
insufficient_keystrokes(547);temporal_order_issue,64
insufficient_keystrokes(549);temporal_order_issue,62
insufficient_keystrokes(555);temporal_order_issue,60
insufficient_keystrokes(560);temporal_order_issue,58
insufficient_keystrokes(548);temporal_order_issue,56
insufficient_keystrokes(546);temporal_order_issue,54
insufficient_keystrokes(550);temporal_order_issue,50
insufficient_keystrokes(543);temporal_order_issue,49
insufficient_keystrokes(544);temporal_order_issue,47
insufficient_keystrokes(552);temporal_order_issue,43
insufficient_keystrokes(545);temporal_order_issue,42
insufficient_keystrokes(537);temporal_order_issue,37
insufficient_keystrokes(534);temporal_order_issue,36
insufficient_keystrokes(542);temporal_order_issue,35
insufficient_keystrokes(541);temporal_order_issue,35
insufficient_keystrokes(540);temporal_order_issue,34
insufficient_keystrokes(538);temporal_order_issue,34
insufficient_keystrokes(535);temporal_order_issue,33
insufficient_keystrokes(536);temporal_order_issue,31
insufficient_keystrokes(532);temporal_order_issue,30
insufficient_keystrokes(527);temporal_order_issue,29
insufficient_keystrokes(530);temporal_order_issue,28
insufficient_keystrokes(539);temporal_order_issue,27
insufficient_keystrokes(528);temporal_order_issue,25
insufficient_sections(14);temporal_order_issue,24
insufficient_keystrokes(526);temporal_order_issue,24
insufficient_keystrokes(531);temporal_order_issue,24
insufficient_keystrokes(529);temporal_order_issue,24
insufficient_keystrokes(525);temporal_order_issue,24
insufficient_sections(13);temporal_order_issue,23
insufficient_keystrokes(533);temporal_order_issue,22
insufficient_keystrokes(523);temporal_order_issue,20
insufficient_keystrokes(521);temporal_order_issue,18
insufficient_keystrokes(524);temporal_order_issue,18
insufficient_keystrokes(516);temporal_order_issue,16
insufficient_keystrokes(522);temporal_order_issue,15
insufficient_keystrokes(515);temporal_order_issue,15
insufficient_keystrokes(514);temporal_order_issue,13
insufficient_keystrokes(518);temporal_order_issue,13
insufficient_keystrokes(520);temporal_order_issue,11
insufficient_keystrokes(502);temporal_order_issue,11
insufficient_keystrokes(517);temporal_order_issue,10
insufficient_keystrokes(512);temporal_order_issue,10
insufficient_sections(12);temporal_order_issue,10
insufficient_keystrokes(519);temporal_order_issue,10
insufficient_keystrokes(513);temporal_order_issue,10
insufficient_keystrokes(508);temporal_order_issue,10
insufficient_keystrokes(595),9
insufficient_keystrokes(592),9
insufficient_keystrokes(507);temporal_order_issue,9
insufficient_keystrokes(509);temporal_order_issue,9
insufficient_keystrokes(503);temporal_order_issue,9
insufficient_keystrokes(505);temporal_order_issue,8
insufficient_keystrokes(500);temporal_order_issue,8
insufficient_keystrokes(510);temporal_order_issue,8
insufficient_keystrokes(588),7
insufficient_keystrokes(593),6
insufficient_keystrokes(578),6
insufficient_keystrokes(565),6
insufficient_keystrokes(498);temporal_order_issue,6
insufficient_keystrokes(490);temporal_order_issue,6
insufficient_keystrokes(511);temporal_order_issue,6
insufficient_keystrokes(501);temporal_order_issue,6
insufficient_keystrokes(598),5
insufficient_keystrokes(591),5
insufficient_keystrokes(583),5
insufficient_keystrokes(560),5
insufficient_keystrokes(494);temporal_order_issue,5
insufficient_keystrokes(492);temporal_order_issue,5
insufficient_keystrokes(504);temporal_order_issue,5
insufficient_keystrokes(599),4
insufficient_keystrokes(597),4
insufficient_keystrokes(596),4
insufficient_keystrokes(590),4
insufficient_keystrokes(589),4
insufficient_keystrokes(582),4
insufficient_keystrokes(581),4
insufficient_keystrokes(576),4
insufficient_keystrokes(573),4
insufficient_keystrokes(570),4
insufficient_keystrokes(506);temporal_order_issue,4
insufficient_keystrokes(496);temporal_order_issue,4
insufficient_keystrokes(493);temporal_order_issue,4
insufficient_keystrokes(587),3
insufficient_keystrokes(585),3
insufficient_keystrokes(580),3
insufficient_keystrokes(567),3
insufficient_keystrokes(566),3
insufficient_keystrokes(559),3
insufficient_keystrokes(550),3
insufficient_sections(11);temporal_order_issue,3
insufficient_keystrokes(484);temporal_order_issue,3
insufficient_keystrokes(497);temporal_order_issue,3
insufficient_keystrokes(491);temporal_order_issue,3
insufficient_keystrokes(481);temporal_order_issue,3
insufficient_keystrokes(594),2
insufficient_keystrokes(586),2
insufficient_keystrokes(584),2
insufficient_keystrokes(569),2
insufficient_keystrokes(564),2
insufficient_keystrokes(562),2
insufficient_keystrokes(561),2
insufficient_keystrokes(558),2
insufficient_keystrokes(556),2
insufficient_keystrokes(553),2
insufficient_keystrokes(552),2
insufficient_keystrokes(551),2
insufficient_keystrokes(548),2
insufficient_keystrokes(547),2
insufficient_keystrokes(543),2
insufficient_keystrokes(537),2
insufficient_keystrokes(526),2
insufficient_keystrokes(517),2
insufficient_keystrokes(478);temporal_order_issue,2
insufficient_keystrokes(499);temporal_order_issue,2
insufficient_keystrokes(593);insufficient_sections(11);temporal_order_issue,2
insufficient_keystrokes(495);temporal_order_issue,2
insufficient_keystrokes(488);temporal_order_issue,2
insufficient_keystrokes(482);temporal_order_issue,2
insufficient_keystrokes(489);temporal_order_issue,2
insufficient_keystrokes(474);temporal_order_issue,2
insufficient_sections(10);temporal_order_issue,2
insufficient_keystrokes(519);insufficient_sections(11);temporal_order_issue,2
insufficient_keystrokes(416);insufficient_sections(10);temporal_order_issue,2
insufficient_keystrokes(579),1
insufficient_keystrokes(577),1
insufficient_keystrokes(574),1
insufficient_keystrokes(572),1
insufficient_keystrokes(571),1
insufficient_keystrokes(563),1
insufficient_keystrokes(575),1
insufficient_keystrokes(557),1
insufficient_keystrokes(555),1
insufficient_keystrokes(554),1
insufficient_keystrokes(545),1
insufficient_keystrokes(544),1
insufficient_keystrokes(540),1
insufficient_keystrokes(536),1
insufficient_keystrokes(535),1
insufficient_keystrokes(532),1
insufficient_keystrokes(531),1
insufficient_keystrokes(520),1
insufficient_keystrokes(514),1
insufficient_keystrokes(508),1
insufficient_keystrokes(505),1
insufficient_keystrokes(583);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(507),1
insufficient_keystrokes(485),1
insufficient_keystrokes(580);insufficient_sections(14);temporal_order_issue,1
insufficient_keystrokes(520);insufficient_sections(13),1
insufficient_keystrokes(562);insufficient_sections(13);temporal_order_issue,1
insufficient_keystrokes(580);insufficient_sections(11);temporal_order_issue,1
insufficient_keystrokes(551);insufficient_sections(13);temporal_order_issue,1
