participant_id,file,rows,sections,keystrokes,finite_ratio,press_time_decreases,section_score,keystroke_score,finite_score,temporal_score,overall_quality_score,eligible,failure_reason,cohort_rank
108443,processed\features\108443_features.csv,3419,15,3419,0.9931449254167886,0,1.0,1.0,0.9931449254167886,1.0,0.9976007238958761,1,,1
119308,processed\features\119308_features.csv,3224,15,3224,0.9927303039702233,0,1.0,1.0,0.9927303039702233,1.0,0.9974556063895782,1,,2
106457,processed\features\106457_features.csv,2160,15,2160,0.9891493055555556,0,1.0,1.0,0.9891493055555556,1.0,0.9962022569444445,1,,3
36512,processed\features\36512_features.csv,1581,15,1581,0.9851755218216319,0,1.0,1.0,0.9851755218216319,1.0,0.9948114326375711,1,,4
123468,processed\features\123468_features.csv,1526,15,1526,0.9846412188728703,0,1.0,1.0,0.9846412188728703,1.0,0.9946244266055045,1,,5
472269,processed\features\472269_features.csv,1473,15,1473,0.9840885947046843,0,1.0,1.0,0.9840885947046843,1.0,0.9944310081466395,1,,6
44672,processed\features\44672_features.csv,1461,15,1461,0.9839579055441479,0,1.0,1.0,0.9839579055441479,1.0,0.9943852669404517,1,,7
119663,processed\features\119663_features.csv,1452,15,1452,0.9838584710743802,0,1.0,1.0,0.9838584710743802,1.0,0.9943504648760331,1,,8
149200,processed\features\149200_features.csv,1401,15,1401,0.9832708779443254,0,1.0,1.0,0.9832708779443254,1.0,0.9941448072805139,1,,9
403500,processed\features\403500_features.csv,1400,15,1400,0.9832589285714286,0,1.0,1.0,0.9832589285714286,1.0,0.994140625,1,,10
488387,processed\features\488387_features.csv,1398,15,1398,0.9832349785407726,0,1.0,1.0,0.9832349785407726,1.0,0.9941322424892703,1,,11
83014,processed\features\83014_features.csv,1395,15,1395,0.9831989247311828,0,1.0,1.0,0.9831989247311828,1.0,0.9941196236559139,1,,12
99435,processed\features\99435_features.csv,1391,15,1391,0.9831506110711719,0,1.0,1.0,0.9831506110711719,1.0,0.9941027138749102,1,,13
427386,processed\features\427386_features.csv,1377,15,1377,0.982979302832244,0,1.0,1.0,0.982979302832244,1.0,0.9940427559912853,1,,14
359523,processed\features\359523_features.csv,1361,15,1361,0.9827792064658339,0,1.0,1.0,0.9827792064658339,1.0,0.9939727222630419,1,,15
120111,processed\features\120111_features.csv,1345,15,1345,0.9825743494423792,0,1.0,1.0,0.9825743494423792,1.0,0.9939010223048327,1,,16
168342,processed\features\168342_features.csv,1342,15,1342,0.982535394932936,0,1.0,1.0,0.982535394932936,1.0,0.9938873882265277,1,,17
464628,processed\features\464628_features.csv,1335,15,1335,0.9824438202247191,0,1.0,1.0,0.9824438202247191,1.0,0.9938553370786517,1,,18
375298,processed\features\375298_features.csv,1327,15,1327,0.982337980406933,0,1.0,1.0,0.982337980406933,1.0,0.9938182931424265,1,,19
412448,processed\features\412448_features.csv,1303,15,1303,0.982012663085188,0,1.0,1.0,0.982012663085188,1.0,0.9937044320798157,1,,20
85162,processed\features\85162_features.csv,1303,15,1303,0.982012663085188,0,1.0,1.0,0.982012663085188,1.0,0.9937044320798157,1,,21
123799,processed\features\123799_features.csv,1286,15,1286,0.9817748833592534,0,1.0,1.0,0.9817748833592534,1.0,0.9936212091757387,1,,22
113831,processed\features\113831_features.csv,1283,15,1283,0.98173226812159,0,1.0,1.0,0.98173226812159,1.0,0.9936062938425565,1,,23
174187,processed\features\174187_features.csv,1281,15,1281,0.9817037470725996,0,1.0,1.0,0.9817037470725996,1.0,0.9935963114754098,1,,24
53910,processed\features\53910_features.csv,1281,15,1281,0.9817037470725996,0,1.0,1.0,0.9817037470725996,1.0,0.9935963114754098,1,,25
456420,processed\features\456420_features.csv,1273,15,1273,0.9815887666928516,0,1.0,1.0,0.9815887666928516,1.0,0.9935560683424981,1,,26
509180,processed\features\509180_features.csv,1273,15,1273,0.9815887666928516,0,1.0,1.0,0.9815887666928516,1.0,0.9935560683424981,1,,27
466384,processed\features\466384_features.csv,1262,15,1262,0.9814282884310618,0,1.0,1.0,0.9814282884310618,1.0,0.9934999009508717,1,,28
123787,processed\features\123787_features.csv,1261,15,1261,0.9814135606661379,0,1.0,1.0,0.9814135606661379,1.0,0.9934947462331483,1,,29
344145,processed\features\344145_features.csv,1258,15,1258,0.9813692368839427,0,1.0,1.0,0.9813692368839427,1.0,0.9934792329093799,1,,30
230292,processed\features\230292_features.csv,1256,15,1256,0.9813395700636943,0,1.0,1.0,0.9813395700636943,1.0,0.9934688495222931,1,,31
43190,processed\features\43190_features.csv,1254,15,1254,0.9813098086124402,0,1.0,1.0,0.9813098086124402,1.0,0.9934584330143541,1,,32
359525,processed\features\359525_features.csv,1243,15,1243,0.9811444086886565,0,1.0,1.0,0.9811444086886565,1.0,0.9934005430410298,1,,33
133541,processed\features\133541_features.csv,1240,15,1240,0.9810987903225806,0,1.0,1.0,0.9810987903225806,1.0,0.9933845766129032,1,,34
243660,processed\features\243660_features.csv,1238,15,1238,0.9810682552504039,0,1.0,1.0,0.9810682552504039,1.0,0.9933738893376414,1,,35
