participant_id,file,rows,sections,keystrokes,finite_ratio,press_time_decreases,section_score,keystroke_score,finite_score,temporal_score,overall_quality_score,eligible,failure_reason
108443,processed\features\108443_features.csv,3419,15,3419,0.9931449254167886,0,1.0,1.0,0.9931449254167886,1.0,0.9976007238958761,1,
119308,processed\features\119308_features.csv,3224,15,3224,0.9927303039702233,0,1.0,1.0,0.9927303039702233,1.0,0.9974556063895782,1,
106457,processed\features\106457_features.csv,2160,15,2160,0.9891493055555556,0,1.0,1.0,0.9891493055555556,1.0,0.9962022569444445,1,
36512,processed\features\36512_features.csv,1581,15,1581,0.9851755218216319,0,1.0,1.0,0.9851755218216319,1.0,0.9948114326375711,1,
123468,processed\features\123468_features.csv,1526,15,1526,0.9846412188728703,0,1.0,1.0,0.9846412188728703,1.0,0.9946244266055045,1,
472269,processed\features\472269_features.csv,1473,15,1473,0.9840885947046843,0,1.0,1.0,0.9840885947046843,1.0,0.9944310081466395,1,
44672,processed\features\44672_features.csv,1461,15,1461,0.9839579055441479,0,1.0,1.0,0.9839579055441479,1.0,0.9943852669404517,1,
119663,processed\features\119663_features.csv,1452,15,1452,0.9838584710743802,0,1.0,1.0,0.9838584710743802,1.0,0.9943504648760331,1,
149200,processed\features\149200_features.csv,1401,15,1401,0.9832708779443254,0,1.0,1.0,0.9832708779443254,1.0,0.9941448072805139,1,
403500,processed\features\403500_features.csv,1400,15,1400,0.9832589285714286,0,1.0,1.0,0.9832589285714286,1.0,0.994140625,1,
488387,processed\features\488387_features.csv,1398,15,1398,0.9832349785407726,0,1.0,1.0,0.9832349785407726,1.0,0.9941322424892703,1,
83014,processed\features\83014_features.csv,1395,15,1395,0.9831989247311828,0,1.0,1.0,0.9831989247311828,1.0,0.9941196236559139,1,
99435,processed\features\99435_features.csv,1391,15,1391,0.9831506110711719,0,1.0,1.0,0.9831506110711719,1.0,0.9941027138749102,1,
427386,processed\features\427386_features.csv,1377,15,1377,0.982979302832244,0,1.0,1.0,0.982979302832244,1.0,0.9940427559912853,1,
359523,processed\features\359523_features.csv,1361,15,1361,0.9827792064658339,0,1.0,1.0,0.9827792064658339,1.0,0.9939727222630419,1,
120111,processed\features\120111_features.csv,1345,15,1345,0.9825743494423792,0,1.0,1.0,0.9825743494423792,1.0,0.9939010223048327,1,
168342,processed\features\168342_features.csv,1342,15,1342,0.982535394932936,0,1.0,1.0,0.982535394932936,1.0,0.9938873882265277,1,
464628,processed\features\464628_features.csv,1335,15,1335,0.9824438202247191,0,1.0,1.0,0.9824438202247191,1.0,0.9938553370786517,1,
375298,processed\features\375298_features.csv,1327,15,1327,0.982337980406933,0,1.0,1.0,0.982337980406933,1.0,0.9938182931424265,1,
412448,processed\features\412448_features.csv,1303,15,1303,0.982012663085188,0,1.0,1.0,0.982012663085188,1.0,0.9937044320798157,1,
85162,processed\features\85162_features.csv,1303,15,1303,0.982012663085188,0,1.0,1.0,0.982012663085188,1.0,0.9937044320798157,1,
123799,processed\features\123799_features.csv,1286,15,1286,0.9817748833592534,0,1.0,1.0,0.9817748833592534,1.0,0.9936212091757387,1,
113831,processed\features\113831_features.csv,1283,15,1283,0.98173226812159,0,1.0,1.0,0.98173226812159,1.0,0.9936062938425565,1,
174187,processed\features\174187_features.csv,1281,15,1281,0.9817037470725996,0,1.0,1.0,0.9817037470725996,1.0,0.9935963114754098,1,
53910,processed\features\53910_features.csv,1281,15,1281,0.9817037470725996,0,1.0,1.0,0.9817037470725996,1.0,0.9935963114754098,1,
456420,processed\features\456420_features.csv,1273,15,1273,0.9815887666928516,0,1.0,1.0,0.9815887666928516,1.0,0.9935560683424981,1,
509180,processed\features\509180_features.csv,1273,15,1273,0.9815887666928516,0,1.0,1.0,0.9815887666928516,1.0,0.9935560683424981,1,
466384,processed\features\466384_features.csv,1262,15,1262,0.9814282884310618,0,1.0,1.0,0.9814282884310618,1.0,0.9934999009508717,1,
123787,processed\features\123787_features.csv,1261,15,1261,0.9814135606661379,0,1.0,1.0,0.9814135606661379,1.0,0.9934947462331483,1,
344145,processed\features\344145_features.csv,1258,15,1258,0.9813692368839427,0,1.0,1.0,0.9813692368839427,1.0,0.9934792329093799,1,
230292,processed\features\230292_features.csv,1256,15,1256,0.9813395700636943,0,1.0,1.0,0.9813395700636943,1.0,0.9934688495222931,1,
43190,processed\features\43190_features.csv,1254,15,1254,0.9813098086124402,0,1.0,1.0,0.9813098086124402,1.0,0.9934584330143541,1,
359525,processed\features\359525_features.csv,1243,15,1243,0.9811444086886565,0,1.0,1.0,0.9811444086886565,1.0,0.9934005430410298,1,
133541,processed\features\133541_features.csv,1240,15,1240,0.9810987903225806,0,1.0,1.0,0.9810987903225806,1.0,0.9933845766129032,1,
243660,processed\features\243660_features.csv,1238,15,1238,0.9810682552504039,0,1.0,1.0,0.9810682552504039,1.0,0.9933738893376414,1,
163820,processed\features\163820_features.csv,1233,15,1233,0.9809914841849149,0,1.0,1.0,0.9809914841849149,1.0,0.9933470194647201,1,
143965,processed\features\143965_features.csv,1230,15,1230,0.9809451219512195,0,1.0,1.0,0.9809451219512195,1.0,0.9933307926829268,1,
144082,processed\features\144082_features.csv,1229,15,1229,0.9809296175752644,0,1.0,1.0,0.9809296175752644,1.0,0.9933253661513425,1,
194297,processed\features\194297_features.csv,1227,15,1227,0.980898533007335,0,1.0,1.0,0.980898533007335,1.0,0.9933144865525673,1,
295637,processed\features\295637_features.csv,1226,15,1226,0.9808829526916802,0,1.0,1.0,0.9808829526916802,1.0,0.9933090334420881,1,
465763,processed\features\465763_features.csv,1226,15,1226,0.9808829526916802,0,1.0,1.0,0.9808829526916802,1.0,0.9933090334420881,1,
429961,processed\features\429961_features.csv,1225,15,1225,0.9808673469387755,0,1.0,1.0,0.9808673469387755,1.0,0.9933035714285715,1,
50745,processed\features\50745_features.csv,1225,15,1225,0.9808673469387755,0,1.0,1.0,0.9808673469387755,1.0,0.9933035714285715,1,
158307,processed\features\158307_features.csv,1224,15,1224,0.9808517156862745,0,1.0,1.0,0.9808517156862745,1.0,0.9932981004901961,1,
243545,processed\features\243545_features.csv,1224,15,1224,0.9808517156862745,0,1.0,1.0,0.9808517156862745,1.0,0.9932981004901961,1,
309784,processed\features\309784_features.csv,1224,15,1224,0.9808517156862745,0,1.0,1.0,0.9808517156862745,1.0,0.9932981004901961,1,
38153,processed\features\38153_features.csv,1224,15,1224,0.9808517156862745,0,1.0,1.0,0.9808517156862745,1.0,0.9932981004901961,1,
344164,processed\features\344164_features.csv,1223,15,1223,0.9808360588716272,0,1.0,1.0,0.9808360588716272,1.0,0.9932926206050695,1,
44706,processed\features\44706_features.csv,1222,15,1222,0.9808203764320785,0,1.0,1.0,0.9808203764320785,1.0,0.9932871317512275,1,
117878,processed\features\117878_features.csv,1221,15,1221,0.9808046683046683,0,1.0,1.0,0.9808046683046683,1.0,0.9932816339066338,1,
189676,processed\features\189676_features.csv,1219,15,1219,0.980773174733388,0,1.0,1.0,0.980773174733388,1.0,0.9932706111566858,1,
412056,processed\features\412056_features.csv,1218,15,1218,0.9807573891625616,0,1.0,1.0,0.9807573891625616,1.0,0.9932650862068966,1,
49299,processed\features\49299_features.csv,1216,15,1216,0.980725740131579,0,1.0,1.0,0.980725740131579,1.0,0.9932540090460527,1,
168541,processed\features\168541_features.csv,1214,15,1214,0.9806939868204283,0,1.0,1.0,0.9806939868204283,1.0,0.9932428953871498,1,
33460,processed\features\33460_features.csv,1213,15,1213,0.9806780708985985,0,1.0,1.0,0.9806780708985985,1.0,0.9932373248145095,1,
26013,processed\features\26013_features.csv,1211,15,1211,0.9806461601981833,0,1.0,1.0,0.9806461601981833,1.0,0.9932261560693642,1,
227490,processed\features\227490_features.csv,1210,15,1210,0.9806301652892562,0,1.0,1.0,0.9806301652892562,1.0,0.9932205578512396,1,
288666,processed\features\288666_features.csv,1210,15,1210,0.9806301652892562,0,1.0,1.0,0.9806301652892562,1.0,0.9932205578512396,1,
50469,processed\features\50469_features.csv,1210,15,1210,0.9806301652892562,0,1.0,1.0,0.9806301652892562,1.0,0.9932205578512396,1,
146240,processed\features\146240_features.csv,1207,15,1207,0.9805820215410108,0,1.0,1.0,0.9805820215410108,1.0,0.9932037075393537,1,
181728,processed\features\181728_features.csv,1207,15,1207,0.9805820215410108,0,1.0,1.0,0.9805820215410108,1.0,0.9932037075393537,1,
446291,processed\features\446291_features.csv,1207,15,1207,0.9805820215410108,0,1.0,1.0,0.9805820215410108,1.0,0.9932037075393537,1,
322570,processed\features\322570_features.csv,1203,15,1203,0.9805174563591023,0,1.0,1.0,0.9805174563591023,1.0,0.9931811097256859,1,
131748,processed\features\131748_features.csv,1201,15,1201,0.980485012489592,0,1.0,1.0,0.980485012489592,1.0,0.9931697543713572,1,
306427,processed\features\306427_features.csv,1198,15,1198,0.980436143572621,0,1.0,1.0,0.980436143572621,1.0,0.9931526502504173,1,
189641,processed\features\189641_features.csv,1197,15,1197,0.9804197994987469,0,1.0,1.0,0.9804197994987469,1.0,0.9931469298245614,1,
418665,processed\features\418665_features.csv,1197,15,1197,0.9804197994987469,0,1.0,1.0,0.9804197994987469,1.0,0.9931469298245614,1,
70790,processed\features\70790_features.csv,1197,15,1197,0.9804197994987469,0,1.0,1.0,0.9804197994987469,1.0,0.9931469298245614,1,
163796,processed\features\163796_features.csv,1196,15,1196,0.9804034280936454,0,1.0,1.0,0.9804034280936454,1.0,0.9931411998327759,1,
389584,processed\features\389584_features.csv,1193,15,1193,0.9803541492036881,0,1.0,1.0,0.9803541492036881,1.0,0.9931239522212908,1,
414840,processed\features\414840_features.csv,1192,15,1192,0.9803376677852349,0,1.0,1.0,0.9803376677852349,1.0,0.9931181837248323,1,
157825,processed\features\157825_features.csv,1190,15,1190,0.9803046218487395,0,1.0,1.0,0.9803046218487395,1.0,0.9931066176470588,1,
20060,processed\features\20060_features.csv,1190,15,1190,0.9803046218487395,0,1.0,1.0,0.9803046218487395,1.0,0.9931066176470588,1,
