participant_id,file,rows,sections,global_key_id_decreases,within_section_key_id_decreases,press_time_decreases,release_time_decreases,sections_with_key_id_decrease,sections_with_press_time_decrease,sections_with_release_time_decrease,max_key_id_backward_jump,max_global_key_id_backward_jump,max_press_time_backward_jump,max_release_time_backward_jump,within_section_temporal_clean,press_time_temporal_clean,release_time_temporal_clean,failure
106457,106457_features.csv,2160,15,713,713,0,295,15,0,15,791.0,791.0,0.0,234.0,False,True,False,
119308,119308_features.csv,3224,15,713,713,0,625,15,0,15,478.0,478.0,0.0,6439.0,False,True,False,
36512,36512_features.csv,1581,15,396,396,0,348,14,0,14,92.0,92.0,0.0,378.0,False,True,False,
346644,346644_features.csv,907,15,180,180,0,0,14,0,0,3318.0,3318.0,0.0,0.0,False,True,True,
422036,422036_features.csv,883,15,169,169,0,167,15,0,15,532.0,532.0,0.0,16384.0,False,True,False,
313963,313963_features.csv,811,15,156,156,0,156,14,0,14,617.0,617.0,0.0,8641.0,False,True,False,
515563,515563_features.csv,858,15,153,153,0,151,15,0,15,236.0,236.0,0.0,6096.0,False,True,False,
129520,129520_features.csv,758,15,152,152,0,151,13,0,13,630.0,630.0,0.0,8928.0,False,True,False,
203343,203343_features.csv,862,15,151,151,0,147,15,0,15,592.0,592.0,0.0,13091.0,False,True,False,
347943,347943_features.csv,807,15,151,151,0,150,15,0,15,199.0,199.0,0.0,4949.0,False,True,False,
97499,97499_features.csv,931,15,143,143,0,143,15,0,15,389.0,389.0,0.0,6569.0,False,True,False,
344776,344776_features.csv,820,15,141,141,0,140,15,0,15,127.0,127.0,0.0,4204.0,False,True,False,
298255,298255_features.csv,751,15,137,137,0,136,15,0,15,622.0,622.0,0.0,11216.0,False,True,False,
337672,337672_features.csv,874,15,137,137,0,136,15,0,15,146.0,146.0,0.0,4597.0,False,True,False,
65599,65599_features.csv,831,15,135,135,0,135,15,0,15,155.0,155.0,0.0,2528.0,False,True,False,
480528,480528_features.csv,882,15,134,134,0,134,15,0,15,127.0,127.0,0.0,3376.0,False,True,False,
336865,336865_features.csv,739,15,133,133,0,133,15,0,15,98.0,98.0,0.0,2199.0,False,True,False,
340572,340572_features.csv,754,15,132,132,0,129,15,0,15,80.0,80.0,0.0,2288.0,False,True,False,
422652,422652_features.csv,862,15,132,132,0,131,15,0,15,104.0,104.0,0.0,3742.0,False,True,False,
110401,110401_features.csv,683,15,131,131,0,130,14,0,14,207.0,207.0,0.0,4392.0,False,True,False,
503045,503045_features.csv,647,15,131,131,0,131,15,0,15,163.0,163.0,0.0,6256.0,False,True,False,
261295,261295_features.csv,826,15,127,127,0,126,15,0,15,835.0,835.0,0.0,8578.0,False,True,False,
148837,148837_features.csv,740,15,126,126,0,124,15,0,15,190.0,190.0,0.0,3711.0,False,True,False,
316695,316695_features.csv,791,15,125,125,0,122,15,0,15,76.0,76.0,0.0,2375.0,False,True,False,
422242,422242_features.csv,792,15,125,125,0,125,14,0,14,182.0,182.0,0.0,4066.0,False,True,False,
88550,88550_features.csv,847,15,125,125,0,125,15,0,15,187.0,187.0,0.0,3968.0,False,True,False,
284956,284956_features.csv,779,15,124,124,0,124,15,0,15,403.0,403.0,0.0,3768.0,False,True,False,
394612,394612_features.csv,755,15,123,123,0,120,14,0,14,215.0,215.0,0.0,2897.0,False,True,False,
390994,390994_features.csv,922,15,122,122,0,120,15,0,15,38.0,38.0,0.0,370.0,False,True,False,
152473,152473_features.csv,730,15,121,121,0,121,15,0,15,331.0,331.0,0.0,5775.0,False,True,False,
49083,49083_features.csv,814,15,121,121,0,121,15,0,15,591.0,591.0,0.0,6436.0,False,True,False,
231688,231688_features.csv,797,15,118,118,0,116,15,0,15,478.0,478.0,0.0,6712.0,False,True,False,
264374,264374_features.csv,777,15,118,118,0,118,15,0,15,291.0,291.0,0.0,4672.0,False,True,False,
315180,315180_features.csv,828,15,118,118,0,118,13,0,13,245.0,245.0,0.0,5055.0,False,True,False,
91305,91305_features.csv,833,15,118,118,0,115,14,0,14,608.0,608.0,0.0,8875.0,False,True,False,
174843,174843_features.csv,745,15,117,117,0,117,15,0,15,327.0,327.0,0.0,4464.0,False,True,False,
19288,19288_features.csv,674,15,117,117,0,114,14,0,14,572.0,572.0,0.0,5937.0,False,True,False,
315321,315321_features.csv,1075,15,116,116,0,115,10,0,10,327.0,327.0,0.0,223.0,False,True,False,
141246,141246_features.csv,777,15,115,115,0,114,15,0,15,179.0,179.0,0.0,3215.0,False,True,False,
494719,494719_features.csv,675,15,114,114,0,113,15,0,15,109.0,109.0,0.0,4043.0,False,True,False,
19004,19004_features.csv,757,15,113,113,0,112,15,0,15,271.0,271.0,0.0,3401.0,False,True,False,
191683,191683_features.csv,696,15,113,113,0,113,15,0,15,166.0,166.0,0.0,3904.0,False,True,False,
307460,307460_features.csv,777,15,113,113,0,109,15,0,15,212.0,212.0,0.0,2781.0,False,True,False,
341863,341863_features.csv,707,15,113,113,0,113,15,0,15,366.0,366.0,0.0,8232.0,False,True,False,
428516,428516_features.csv,708,15,112,112,0,110,15,0,15,49.0,49.0,0.0,2309.0,False,True,False,
281907,281907_features.csv,754,15,111,111,0,110,13,0,13,141.0,141.0,0.0,5353.0,False,True,False,
215859,215859_features.csv,713,15,109,109,0,109,12,0,12,145.0,145.0,0.0,7387.0,False,True,False,
376833,376833_features.csv,816,15,107,107,0,99,13,0,13,32.0,32.0,0.0,188.0,False,True,False,
44388,44388_features.csv,744,15,107,107,0,106,15,0,14,209.0,209.0,0.0,3207.0,False,True,False,
171506,171506_features.csv,730,15,106,106,0,106,15,0,15,200.0,200.0,0.0,5448.0,False,True,False,
28452,28452_features.csv,646,15,106,106,0,104,15,0,15,176.0,176.0,0.0,3790.0,False,True,False,
454614,454614_features.csv,652,15,106,106,0,105,15,0,15,113.0,113.0,0.0,10330.0,False,True,False,
179924,179924_features.csv,772,15,105,105,0,104,15,0,15,154.0,154.0,0.0,5384.0,False,True,False,
335430,335430_features.csv,759,15,105,105,0,105,15,0,15,201.0,201.0,0.0,4867.0,False,True,False,
230206,230206_features.csv,881,15,104,104,0,100,12,0,11,307.0,307.0,0.0,8794.0,False,True,False,
448994,448994_features.csv,782,15,104,104,0,103,15,0,15,557.0,557.0,0.0,8104.0,False,True,False,
314702,314702_features.csv,708,15,103,103,0,103,15,0,15,265.0,265.0,0.0,3003.0,False,True,False,
428038,428038_features.csv,676,15,103,103,0,103,15,0,15,99.0,99.0,0.0,4727.0,False,True,False,
449988,449988_features.csv,710,15,103,103,0,102,15,0,15,66.0,66.0,0.0,3247.0,False,True,False,
511189,511189_features.csv,600,15,103,103,0,20,15,0,12,890.0,890.0,0.0,153.0,False,True,False,
177447,177447_features.csv,706,15,102,102,0,99,14,0,13,164.0,164.0,0.0,3886.0,False,True,False,
245548,245548_features.csv,695,15,102,102,0,102,13,0,13,75.0,75.0,0.0,4143.0,False,True,False,
302783,302783_features.csv,655,15,102,102,0,102,15,0,15,84.0,84.0,0.0,1617.0,False,True,False,
456094,456094_features.csv,732,15,101,101,0,100,15,0,15,195.0,195.0,0.0,4546.0,False,True,False,
471980,471980_features.csv,752,15,101,101,0,6,15,0,5,56.0,56.0,0.0,447.0,False,True,False,
248793,248793_features.csv,939,15,100,100,0,97,15,0,15,29.0,29.0,0.0,375.0,False,True,False,
433875,433875_features.csv,624,15,100,100,0,99,15,0,15,105.0,105.0,0.0,3480.0,False,True,False,
45041,45041_features.csv,847,15,100,100,0,100,15,0,15,284.0,284.0,0.0,5425.0,False,True,False,
480077,480077_features.csv,621,15,100,100,0,99,15,0,15,371.0,371.0,0.0,12594.0,False,True,False,
286396,286396_features.csv,676,15,99,99,0,97,14,0,14,104.0,104.0,0.0,2297.0,False,True,False,
287182,287182_features.csv,761,15,99,99,0,97,12,0,12,106.0,106.0,0.0,4752.0,False,True,False,
257256,257256_features.csv,714,15,98,98,0,98,14,0,14,260.0,260.0,0.0,5383.0,False,True,False,
30289,30289_features.csv,614,15,98,98,0,98,15,0,15,143.0,143.0,0.0,2766.0,False,True,False,
35334,35334_features.csv,689,15,98,98,0,10,15,0,8,278.0,278.0,0.0,610.0,False,True,False,
167070,167070_features.csv,686,15,97,97,0,7,15,0,6,141.0,141.0,0.0,187.0,False,True,False,
421132,421132_features.csv,892,15,96,96,0,96,13,0,13,194.0,194.0,0.0,5784.0,False,True,False,
443348,443348_features.csv,850,15,96,96,0,96,14,0,14,2008.0,2008.0,0.0,34204.0,False,True,False,
197799,197799_features.csv,796,15,95,95,0,91,14,0,13,79.0,79.0,0.0,2891.0,False,True,False,
50469,50469_features.csv,1210,15,95,95,0,77,6,0,5,200.0,200.0,0.0,296.0,False,True,False,
39774,39774_features.csv,792,15,94,94,0,66,13,0,13,633.0,633.0,0.0,9540.0,False,True,False,
272057,272057_features.csv,724,15,92,92,0,89,13,0,13,765.0,765.0,0.0,14778.0,False,True,False,
126922,126922_features.csv,955,15,91,91,0,86,10,0,9,79.0,79.0,0.0,625.0,False,True,False,
129925,129925_features.csv,716,15,91,91,0,9,14,0,8,73.0,73.0,0.0,70.0,False,True,False,
253864,253864_features.csv,956,15,91,91,0,90,15,0,15,1646.0,1646.0,0.0,16309.0,False,True,False,
296018,296018_features.csv,776,15,91,91,0,89,15,0,15,269.0,269.0,0.0,6552.0,False,True,False,
302652,302652_features.csv,748,15,90,90,0,88,15,0,15,202.0,202.0,0.0,6475.0,False,True,False,
389717,389717_features.csv,744,15,90,90,0,88,12,0,12,107.0,107.0,0.0,3199.0,False,True,False,
301231,301231_features.csv,693,15,89,89,0,89,14,0,14,276.0,276.0,0.0,10512.0,False,True,False,
430024,430024_features.csv,718,15,89,89,0,86,14,0,14,196.0,196.0,0.0,2203.0,False,True,False,
411809,411809_features.csv,793,15,88,88,0,87,15,0,15,98.0,98.0,0.0,120.0,False,True,False,
412839,412839_features.csv,730,15,88,88,0,3,13,0,2,621.0,621.0,0.0,35.0,False,True,False,
288639,288639_features.csv,885,15,87,87,0,85,13,0,13,495.0,495.0,0.0,16704.0,False,True,False,
290942,290942_features.csv,747,15,87,87,0,87,11,0,11,298.0,298.0,0.0,5939.0,False,True,False,
424000,424000_features.csv,706,15,87,87,0,12,15,0,8,68.0,68.0,0.0,90.0,False,True,False,
78888,78888_features.csv,677,15,87,87,0,83,13,0,13,191.0,191.0,0.0,2376.0,False,True,False,
158724,158724_features.csv,884,15,86,86,0,71,14,0,12,167.0,167.0,0.0,4344.0,False,True,False,
117311,117311_features.csv,754,15,85,85,0,84,11,0,11,415.0,415.0,0.0,8282.0,False,True,False,
196858,196858_features.csv,736,15,85,85,0,85,14,0,14,79.0,79.0,0.0,2484.0,False,True,False,
230184,230184_features.csv,738,15,85,85,0,81,14,0,14,389.0,389.0,0.0,6072.0,False,True,False,
77070,77070_features.csv,793,15,85,85,0,85,13,0,13,103.0,103.0,0.0,3480.0,False,True,False,
